"nome","descricao","num_refeicoes","categoria_ensino","idade_alunos","periodo","calorias","carboidratos","proteinas","lipidios","fibras","vitamina_a","vitamina_c","vitamina_d","vitamina_e","vitamina_b1","vitamina_b2","vitamina_b6","vitamina_b12","niacina","folico","pantotenico","calcio","ferro","magnesio","potassio","selenio","fosforo","iodo","cobre","zinco","sodio","gordura_total","colesterol","gordura_saturada","gordura_poliinsaturada","gordura_monoinsaturada"
"20% das necessidades nutricionais diárias","Creche (7 – 11 meses)",1,1,1,1,135,"21.9","4.2","3.4",0,100,10,0,0,0,0,0,0,0,0,0,54,"2.2",15,0,0,0,0,0,"0.6",400,0,0,0,0,0
"20% das necessidades nutricionais diárias","Creche (1 – 3 anos)",1,1,2,1,200,"32.5","6.3",5,"3.8",60,3,0,0,0,0,0,0,0,0,0,100,"1.4",16,0,0,0,0,0,"0.6",400,0,0,0,0,0
"20% das necessidades nutricionais diárias","Pré-escola (4 – 5 anos)",1,2,3,1,270,"43.9","8.4","6.8",5,80,5,0,0,0,0,0,0,0,0,0,160,2,26,0,0,0,0,0,1,400,0,0,0,0,0
"20% das necessidades nutricionais diárias","Ensino Fundamental (6 – 10 anos)",1,3,4,1,300,"48.8","9.4","7.5","5.4",100,7,0,0,0,0,0,0,0,0,0,210,"1.8",37,0,0,0,0,0,"1.3",400,0,0,0,0,0
"20% das necessidades nutricionais diárias","Ensino Fundamental (11 – 15 anos)",1,3,5,1,435,"70.7","13.6","10.9","6.1",140,12,0,0,0,0,0,0,0,0,0,260,"2.1",63,0,0,0,0,0,"1.8",400,0,0,0,0,0
"20% das necessidades nutricionais diárias","Ensino Médio (16 – 18 anos)",1,4,6,1,500,"81.3","15.6","12.5","6.4",160,14,0,0,0,0,0,0,0,0,0,260,"2.6",77,0,0,0,0,0,2,400,0,0,0,0,0
"20% das necessidades nutricionais diárias","EJA (19 – 30 anos)",1,5,7,1,450,"70.7",14,"11.3","6.3",160,17,0,0,0,0,0,0,0,0,0,200,"2.6",71,0,0,0,0,0,"1.9",400,0,0,0,0,0
"20% das necessidades nutricionais diárias","EJA (31 – 60 anos)",1,5,8,1,435,"70.7","13.6","10.9","5.7",160,17,0,0,0,0,0,0,0,0,0,220,"2.1",74,0,0,0,0,0,"1.9",400,0,0,0,0,0
"30% das necessidades nutricionais diárias","Creche (7 – 11 meses)",2,1,1,1,200,"32.5","6.3",5,0,150,15,0,0,0,0,0,0,0,0,0,81,"3.3",23,0,0,0,0,0,"0.9",600,0,0,0,0,0
"30% das necessidades nutricionais diárias","Creche (1 – 3 anos)",2,1,2,1,300,"48.8","9.4","7.5","5.7",90,5,0,0,0,0,0,0,0,0,0,150,"2.1",24,0,0,0,0,0,"0.9",600,0,0,0,0,0
